Page,Address,Value
0,0x0000,0x55,
0,0x0001,0x00,
0,0x0002,0x16,
0,0x0003,0x09,
0,0x0004,0x06,
0,0x0005,0x00,
0,0x0006,0x00,
0,0x0007,0x00,
0,0x0008,0x00,
0,0x0009,0x00,
0,0x000a,0x00,
0,0x000b,0x7b,
0,0x000c,0x55,
0,0x000d,0x74,
0,0x000e,0xbc,
0,0x000f,0xbb,
0,0x0010,0x87,
0,0x0011,0x76,
0,0x0012,0xbf,
0,0x0013,0xbf,
0,0x0014,0x89,
0,0x0015,0x4a,
0,0x0016,0x55,
0,0x0017,0x01,
0,0x0018,0x2c,
0,0x0019,0x01,
0,0x001a,0x3a,
0,0x001b,0x01,
0,0x001c,0x3a,
0,0x001d,0x01,
0,0x001e,0x52,
0,0x001f,0x01,
0,0x0020,0x5b,
0,0x0021,0x01,
0,0x0022,0x6c,
0,0x0023,0x01,
0,0x0024,0x74,
0,0x0025,0x01,
0,0x0026,0x8f,
0,0x0027,0x01,
0,0x0028,0x95,
0,0x0029,0x01,
0,0x002a,0xa8,
0,0x002b,0x01,
0,0x002c,0xad,
0,0x002d,0x01,
0,0x002e,0xc8,
0,0x002f,0x01,
0,0x0030,0xd2,
0,0x0031,0x01,
0,0x0032,0xdc,
0,0x0033,0x01,
0,0x0034,0xdf,
0,0x0035,0x01,
0,0x0036,0xfa,
0,0x0037,0x02,
0,0x0038,0x04,
0,0x0039,0x02,
0,0x003a,0x10,
0,0x003b,0x02,
0,0x003c,0x15,
0,0x003d,0x02,
0,0x003e,0x2d,
0,0x003f,0x02,
0,0x0040,0x35,
0,0x0041,0x02,
0,0x0042,0x3e,
0,0x0043,0x02,
0,0x0044,0x3d,
0,0x0045,0x02,
0,0x0046,0x5a,
0,0x0047,0x02,
0,0x0048,0x61,
0,0x0049,0x02,
0,0x004a,0x5b,
0,0x004b,0x02,
0,0x004c,0x62,
0,0x004d,0x02,
0,0x004e,0x7d,
0,0x004f,0x02,
0,0x0050,0x78,
0,0x0051,0x02,
0,0x0052,0x76,
0,0x0053,0x02,
0,0x0054,0x76,
0,0x0055,0x02,
0,0x0056,0x91,
0,0x0057,0x02,
0,0x0058,0x81,
0,0x0059,0x02,
0,0x005a,0x81,
0,0x005b,0x02,
0,0x005c,0x7a,
0,0x005d,0x02,
0,0x005e,0x98,
0,0x005f,0x02,
0,0x0060,0x78,
0,0x0061,0x02,
0,0x0062,0x76,
0,0x0063,0x02,
0,0x0064,0x76,
0,0x0065,0x02,
0,0x0066,0x91,
0,0x0067,0x02,
0,0x0068,0x6a,
0,0x0069,0x02,
0,0x006a,0x62,
0,0x006b,0x02,
0,0x006c,0x62,
0,0x006d,0x02,
0,0x006e,0x7d,
0,0x006f,0x02,
0,0x0070,0x3e,
0,0x0071,0x02,
0,0x0072,0x3e,
0,0x0073,0x02,
0,0x0074,0x44,
0,0x0075,0x02,
0,0x0076,0x61,
0,0x0077,0x02,
0,0x0078,0x15,
0,0x0079,0x02,
0,0x007a,0x15,
0,0x007b,0x02,
